ID,Publication type,Reporting date 1,Reporting date 2,Abstract,Date of acceptance,Addresses,Altmetric attention score,File(s) confidential,Associated Identifiers,Author's licence,Authors,Author URL,Collections,File(s) confidentiality reason,DOI,Edition,Editors,eISSN,File(s) embargo release date,External identifiers,Field citation ratio,ISBN-10,ISBN-13,Is compliant with institutional policy,File(s) embargoed,Open access,ISSN,Issue,Journal,Keywords,Language,Country,Medium,Notes,Article number OR Chapter number,Number of chapters in book,OA location file version,OA location URL,Online publication date,Open access status,Pagination (start page),Pagination (end page),Pagination (page count),Book title,PII,Place of publication,Publication date,Status,Public URL,Publisher,Publisher licence OR Publisher License,Publisher URL,Record created at source,Record made publicly available,Relative citation ratio,Availability,Series,Title OR Chapter Title,Sub types,Volume,Curation Status,Citation count,ERA-2010 journal name,ERA 2010 rank,SJR journal name,SJR rank,SNIP journal name,SNIP rank,Indexed in DOAJ,DOAJ CC Licence,Proprietary ID,Source,Canonical journal title
369054,Journal article,01/04/2024,,,,,,,,,"Fraver S, Bosely-Smith C, Seirup C, Guiterman CH, Schmeelk T, Teets A, Van Kampen R, Kenefic LS",,,,10.1139/cjfr-2023-0193,,,1208-6037,,,,,,,,,0045-5067,4,CANADIAN JOURNAL OF FOREST RESEARCH,"Science & Technology, Life Sciences & Biomedicine, Forestry, arborvitae, Argyresthia thuiella, eastern white cedar, dfoliatR, dendroecology, host-non-host analysis, insect defoliation, GROWTH, DYNAMICS, SPRUCE",English,,,,,,,,,,479,485,7,,,,2024-04,Published,,CANADIAN SCIENCE PUBLISHING,,,,,,,,"Dendrochronological reconstruction of arborvitae leafminer<i> (Argyresthia</i> spp.) outbreaks on northern white-cedar<i> (Thuja</i><i> occidentalis)</i> in Maine, USA","Article, Journal",54,,0,Canadian Journal of Forest Research (0045-5067),A,Canadian Journal of Forest Research (0045-5067),0.969,Canadian Journal of Forest Research (0045-5067),0.956,No,,WOS:001141743500001,Web of Science,Canadian Journal of Forest Research
369054,Journal article,01/04/2024,,"<jats:p> Although northern white-cedar ( Thuja occidentalis; henceforth cedar) is thought to have few insect pests, arborvitae leafminers (primarily Argyresthia thuiella) have been known to cause leaf necrosis. Yet, historical evidence for leafminer outbreaks is limited. We combined leafminer larval surveys conducted between 1950 and 1992 with tree-ring analyses from eight cedar stands to reconstruct a history of leafminer outbreaks in Maine, USA. Our tree-ring data show distinctive 2- to 3-year growth reductions that we attribute to leafminers. Several such growth reductions correspond to peak leafminer larval abundances, providing evidence that the reductions are reliable indicators of leafminer activity. Outbreak severity within a site was unrelated to cedar abundance. Outbreak periods thus identified (beginning ca. 1919, 1937, 1950, 1962, mid-1970s, but not at all sites) suggest that leafminer damage may have been more prevalent (albeit patchy) than previously thought. This historical information is relevant given current outbreaks in Maine and elsewhere. </jats:p>",,,,,,,"Fraver S, Bosely-Smith C, Seirup C, Guiterman CH, Schmeelk T, Teets A, Van Kampen R, Kenefic LS",,,,10.1139/cjfr-2023-0193,,,1208-6037,,,,,,,,,0045-5067,4,Canadian Journal of Forest Research,,en,,,,,,,,,,479,485,,,,,2024-04-01,Published,,Canadian Science Publishing,,http://dx.doi.org/10.1139/cjfr-2023-0193,2024-04-01,,,,,"Dendrochronological reconstruction of arborvitae leafminer (<i>Argyresthia</i> spp.) outbreaks on northern white-cedar (<i>Thuja occidentalis</i>) in Maine, USA",,54,,,Canadian Journal of Forest Research (0045-5067),A,Canadian Journal of Forest Research (0045-5067),0.969,Canadian Journal of Forest Research (0045-5067),0.956,No,,10.1139/cjfr-2023-0193,Crossref,Canadian Journal of Forest Research
372928,Journal article,05/02/2024,,,,,,,,,"Guiterman CH, Gille E, Shepherd E, Mcneill S, Payne CR, Morrill C",,,,10.3959/TRR2023-2,,,2162-4585,,,,,,,,,1536-1098,1,TREE-RING RESEARCH,"Science & Technology, Life Sciences & Biomedicine, Forestry, Dendrochronology, tree rings, FAIR, open access, publicly available data., DROUGHT ATLAS, CLIMATE, RECONSTRUCTIONS, VARIABILITY, GROWTH",English,,,,,,,,,,13,18,6,,,,2024,Published,,TREE-RING SOC,,,,,,,,THE INTERNATIONAL TREE-RING DATA BANK AT FIFTY: STATUS OF STEWARDSHIP FOR FUTURE SCIENTIFIC DISCOVERY,"Article, Journal",80,,,Tree-Ring Research (0041-2198),C,Tree-Ring Research (1536-1098),0.522,Tree-Ring Research (1536-1098),0.980,No,,WOS:001184429200002,Web of Science,Tree-ring research
372928,Journal article,05/02/2024,,,,,,,,,"Guiterman CH, Gille E, Shepherd E, McNeill S, Payne CR, Morrill C",,,,10.3959/trr2023-2,,,,,,,,,,,,1536-1098,1,Tree-Ring Research,,,,,,,,,,,,,,,,,,2024-02-05,Published,,Tree-Ring Society,,http://dx.doi.org/10.3959/trr2023-2,2024-02-05,,,,,The International Tree-Ring Data Bank at Fifty: Status of Stewardship for Future Scientific Discovery,,80,,,Tree-Ring Research (0041-2198),C,Tree-Ring Research (1536-1098),0.522,Tree-Ring Research (1536-1098),0.980,No,,10.3959/trr2023-2,Crossref,Tree-ring research
341265,Chapter,10/08/2023,,,,,,,,,"Roos CI, Swetnam TW, Guiterman CH",,,,10.4324/9781003316497-6,,"Whitaker JA, Armstrong CG, Odonne G",,,,,,978-1-032-32107-3,,,,,,CLIMATIC AND ECOLOGICAL CHANGE IN THE AMERICAS,"Science & Technology, Life Sciences & Biomedicine, Anthropology, Ecology, Environmental Studies, Environmental Sciences & Ecology, MIXED-CONIFER FORESTS, CLIMATE, VARIABILITY, MOUNTAINS, RESERVATION, DISTURBANCE, MANAGEMENT, COLORADO, WILDFIRE, DROUGHT",English,,,Book subtitle: A Perspective from Historical Ecology,,,,,,,87,103,17,CLIMATIC AND ECOLOGICAL CHANGE IN THE AMERICAS,,,2024,Published,,ROUTLEDGE,,,,,,,New Frontiers in Historical Ecology,Indigenous Land Use and Fire Resilience of Southwest USA Ponderosa Pine Forests,"Article, Book Chapter, Book in series",,,,,,,,,,,,WOS:001200180600007,Web of Science,
341265,Chapter,10/08/2023,,,,,,,,,"Roos CI, Swetnam TW, Guiterman CH",,,,10.4324/9781003316497-6,,,,,,,,,,,,,,,,en,,,,,,,,,,87,103,,Climatic and Ecological Change in the Americas,,,2023-08-10,Published,,Routledge,,http://dx.doi.org/10.4324/9781003316497-6,2023-08-10,,,,,Indigenous Land Use and Fire Resilience of Southwest USA Ponderosa Pine Forests,,,,,,,,,,,,,10.4324/9781003316497-6,Crossref,
333155,Journal article,01/08/2023,,,,,,,,,"Harley GL, Therrell MD, Maxwell JT, Bhuta A, Bregy JC, Heeter KJ, Patterson T, Rochner M, Rother MT, Stambaugh M, Zampieri NE, Altman J, Collins-Key SA, Gentry CM, Guiterman C, Huffman JM, Johnson DJ, King DJ, Larson ER, Leland C, Nguyen HTT, Pederson N, Puhlick JJ, Rao MP, Rodriguez-Caton M, Sakulich JB, Singh N, Tucker CS, van de Gevel SL, Kaiser AL, Ahmad S",,,,10.1177/03091333221147652,,,1477-0296,,,,,,,,,0309-1333,4,PROGRESS IN PHYSICAL GEOGRAPHY-EARTH AND ENVIRONMENT,"Science & Technology, Physical Sciences, Geography, Physical, Geosciences, Multidisciplinary, Physical Geography, Geology, tree ring, savanna ecology, climatology, climate reconstruction, fire, archaeology, RED-COCKADED WOODPECKER, RADIAL GROWTH RELATIONSHIPS, SOUTHEASTERN UNITED-STATES, FIRE FREQUENCY, TROPICAL CYCLONES, DENDROECOLOGICAL ANALYSIS, ECOSYSTEM MANAGEMENT, UNDERSTORY PLANT, PRESCRIBED FIRE, STAND STRUCTURE",English,,,,,,,,,,570,596,27,,,,2023-08,Published,,SAGE PUBLICATIONS LTD,,,,,,,,The Longleaf Tree-Ring Network: Reviewing and expanding the utility of <i>Pinus palustris</i> Mill. Dendrochronological data,"Article, Journal",47,,2,Progress in Physical Geography: an international review of geographical work in the natural and environmental sciences (0309-1333),A,Progress in Physical Geography (0309-1333),1.373,Progress in Physical Geography (0309-1333),1.289,No,,WOS:000906846700001,Web of Science,Progress in Physical Geography: an international review of geographical work in the natural and environmental sciences
333155,Journal article,01/08/2023,,"<jats:p>The longleaf pine ( Pinus palustris Mill.) and related ecosystem is an icon of the southeastern United States (US). Once covering an estimated 37 million ha from Texas to Florida to Virginia, the near-extirpation of, and subsequent restoration efforts for, the species has been well-documented over the past ca. 100 years. Although longleaf pine is one of the longest-lived tree species in the southeastern US—with documented ages of over 400 years—its use has not been reviewed in the field of dendrochronology. In this paper, we review the utility of longleaf pine tree-ring data within the applications of four primary, topical research areas: climatology and paleoclimate reconstruction, fire history, ecology, and archeology/cultural studies. Further, we highlight knowledge gaps in these topical areas, for which we introduce the Longleaf Tree-Ring Network (LTRN). The overarching purpose of the LTRN is to coalesce partners and data to expand the scientific use of longleaf pine tree-ring data across the southeastern US. As a first example of LTRN analytics, we show that the development of seasonwood chronologies (earlywood width, latewood width, and total width) enhances the utility of longleaf pine tree-ring data, indicating the value of these seasonwood metrics for future studies. We find that at 21 sites distributed across the species’ range, latewood width chronologies outperform both their earlywood and total width counterparts in mean correlation coefficient (RBAR = 0.55, 0.46, 0.52, respectively). Strategic plans for increasing the utility of longleaf pine dendrochronology in the southeastern US include [1] saving remnant material ( e.g., stumps, logs, and building construction timbers) from decay, extraction, and fire consumption to help extend tree-ring records, and [2] developing new chronologies in LTRN spatial gaps to facilitate broad-scale analyses of longleaf pine ecosystems within the context of the topical groups presented.</jats:p>",,,,,,,"Harley GL, Therrell MD, Maxwell JT, Bhuta A, Bregy JC, Heeter KJ, Patterson T, Rochner M, Rother MT, Stambaugh M",,,,10.1177/03091333221147652,,,1477-0296,,,,,,,,,0309-1333,4,Progress in Physical Geography: Earth and Environment,,en,,,,,,,,2023-01-02,,570,596,,,,,2023-08,Published,,SAGE Publications,,http://dx.doi.org/10.1177/03091333221147652,2023-12-03,,,,,The Longleaf Tree-Ring Network: Reviewing and expanding the utility of<i>Pinus palustris</i>Mill. Dendrochronological data,,47,,,Progress in Physical Geography: an international review of geographical work in the natural and environmental sciences (0309-1333),A,Progress in Physical Geography (0309-1333),1.373,Progress in Physical Geography (0309-1333),1.289,No,,10.1177/03091333221147652,Crossref,Progress in Physical Geography: an international review of geographical work in the natural and environmental sciences
331220,Journal article,07/12/2022,,,,,,,,,"Roos CI, Guiterman CH, Margolis EQ, Swetnam TW, Laluk NC, Thompson KF, Toya C, Farris CA, Fule PZ, Iniguez JM, Kaib JM, O'Connor CD, Whitehair L",,,,10.1126/sciadv.abq3221,,,,,,,,,,,,2375-2548,49,SCIENCE ADVANCES,"Science & Technology, Multidisciplinary Sciences, Science & Technology - Other Topics, MIXED-CONIFER, SEVERITY FIRE, NEW-MEXICO, SACRAMENTO MOUNTAINS, SOUTHERN ARIZONA, GRAND-CANYON, HISTORY, FOREST, VARIABILITY, REGIME",English,,,,ARTN eabq3221,,,,,Gold OA,,,12,,,,2022-12-07,Published,,AMER ASSOC ADVANCEMENT SCIENCE,,,,,,,,Indigenous fire management and cross-scale fire- climate relationships in the Southwest United States from 1500 to 1900 CE,"Article, Journal",8,,10,,,Science advances (2375-2548),5.817,Science advances (2375-2548),3.356,Yes,"CC BY, CC BY-NC",WOS:000913179000012,Web of Science,Science Advances
331220,Journal article,07/12/2022,,"Prior research suggests that Indigenous fire management buffers climate influences on wildfires, but it is unclear whether these benefits accrue across geographic scales. We use a network of 4824 fire-scarred trees in Southwest United States dry forests to analyze up to 400 years of fire-climate relationships at local, landscape, and regional scales for traditional territories of three different Indigenous cultures. Comparison of fire-year and prior climate conditions for periods of intensive cultural use and less-intensive use indicates that Indigenous fire management weakened fire-climate relationships at local and landscape scales. This effect did not scale up across the entire region because land use was spatially and temporally heterogeneous at that scale. Restoring or emulating Indigenous fire practices could buffer climate impacts at local scales but would need to be repeatedly implemented at broad scales for broader regional benefits.",,,,,,,"Roos CI, Guiterman CH, Margolis EQ, Swetnam TW, Laluk NC, Thompson KF, Toya C, Farris CA, Fulé PZ, Iniguez JM",https://www.ncbi.nlm.nih.gov/pubmed/36475806,,,10.1126/sciadv.abq3221,,,2375-2548,,,,,,,,,,49,Sci Adv,,eng,United States,,,,,,,,,eabq3221,,,,,,2022-12-09,Published,,,,,,2022-12-09,,,,Indigenous fire management and cross-scale fire-climate relationships in the Southwest United States from 1500 to 1900 CE.,Journal Article,8,,,,,Science advances (2375-2548),5.817,Science advances (2375-2548),3.356,Yes,"CC BY, CC BY-NC",36475806,PubMed,Science Advances
331220,Journal article,07/12/2022,,"<jats:p>Prior research suggests that Indigenous fire management buffers climate influences on wildfires, but it is unclear whether these benefits accrue across geographic scales. We use a network of 4824 fire-scarred trees in Southwest United States dry forests to analyze up to 400 years of fire-climate relationships at local, landscape, and regional scales for traditional territories of three different Indigenous cultures. Comparison of fire-year and prior climate conditions for periods of intensive cultural use and less-intensive use indicates that Indigenous fire management weakened fire-climate relationships at local and landscape scales. This effect did not scale up across the entire region because land use was spatially and temporally heterogeneous at that scale. Restoring or emulating Indigenous fire practices could buffer climate impacts at local scales but would need to be repeatedly implemented at broad scales for broader regional benefits.</jats:p>",,,,,,,"Roos CI, Guiterman CH, Margolis EQ, Swetnam TW, Laluk NC, Thompson KF, Toya C, Farris CA, Fulé PZ, Iniguez JM",,,,10.1126/sciadv.abq3221,,,2375-2548,,,,,,,,,,49,Science Advances,,en,,,,,,,,,,,,,,,,2022-12-09,Published,,American Association for the Advancement of Science (AAAS),,http://dx.doi.org/10.1126/sciadv.abq3221,2024-01-09,,,,,Indigenous fire management and cross-scale fire-climate relationships in the Southwest United States from 1500 to 1900 CE,,8,,,,,Science advances (2375-2548),5.817,Science advances (2375-2548),3.356,Yes,"CC BY, CC BY-NC",10.1126/sciadv.abq3221,Crossref,Science Advances
328009,Journal article,01/07/2022,,,,,,,,,"Margolis EQ, Guiterman CH, Chavardes RD, Coop JD, Copes-Gerbitz K, Dawe DA, Falk DA, Johnston JD, Larson E, Li H, Marschall JM, Naficy CE, Naito AT, Parisien M-A, Parks SA, Portier J, Poulos HM, Robertson KM, Speer JH, Stambaugh M, Swetnam TW, Tepley AJ, Thapa I, Allen CD, Bergeron Y, Daniels LD, Fule PZ, Gervais D, Girardin MP, Harley GL, Harvey JE, Hoffman KM, Huffman JM, Hurteau MD, Johnson LB, Lafon CW, Lopez MK, Maxwell RS, Meunier J, North M, Rother MT, Schmidt MR, Sherriff RL, Stachowiak LA, Taylor A, Taylor EJ, Trouet V, Villarreal ML, Yocom LL, Arabas KB, Arizpe AH, Arseneault D, Tarancon AA, Baisan C, Bigio E, Biondi F, Cahalan GD, Caprio A, Cerano-Paredes J, Collins BM, Dey DC, Drobyshev I, Farris C, Fenwick MA, Flatley W, Floyd ML, Gedalof Z, Holz A, Howard LF, Huffman DW, Iniguez J, Kipfmueller KF, Kitchen SG, Lombardo K, McKenzie D, Merschel AG, Metlen KL, Minor J, O'Connor CD, Platt L, Platt WJ, Saladyga T, Stan AB, Stephens S, Sutheimer C, Touchan R, Weisberg PJ",,,,10.1002/ecs2.4159,,,,,,,,,,,,2150-8925,7,ECOSPHERE,"Science & Technology, Life Sciences & Biomedicine, Ecology, Environmental Sciences & Ecology, climate, dendrochronology, fire regime, fire scar, humans, pyrogeography, surface fires, synthesis, topography, tree ring, wildfire, LOW-SEVERITY FIRE, MIXED-CONIFER FOREST, NINO-SOUTHERN-OSCILLATION, JASPER NATIONAL-PARK, LAKE TAHOE BASIN, PONDEROSA PINE, CLIMATE-CHANGE, SIERRA-NEVADA, EL-NINO, BOREAL FOREST",English,,,,ARTN e4159,,,,,,,,36,,,,2022-07,Published,,WILEY,,,,,,,,The North American tree-ring fire-scar network,"Article, Journal",13,,22,,,Ecosphere (2150-8925),1.461,Ecosphere (2150-8925),0.951,Yes,CC BY,WOS:000823716900001,Web of Science,Ecosphere
