ID,Publication type,Reporting date 1,Reporting date 2,Abstract,Date of acceptance,Addresses,Altmetric attention score,File(s) confidential,Associated Identifiers,Author's licence,Authors,Author URL,Collections,File(s) confidentiality reason,DOI,Edition,Editors,eISSN,File(s) embargo release date,External identifiers,Field citation ratio,ISBN-10,ISBN-13,Is compliant with institutional policy,File(s) embargoed,Open access,ISSN,Issue,Journal,Keywords,Language,Country,Medium,Notes,Article number OR Chapter number,Number of chapters in book,OA location file version,OA location URL,Online publication date,Open access status,Pagination (start page),Pagination (end page),Pagination (page count),Book title,PII,Place of publication,Publication date,Status,Public URL,Publisher,Publisher licence OR Publisher License,Publisher URL,Record created at source,Record made publicly available,Relative citation ratio,Availability,Series,Title OR Chapter Title,Sub types,Volume,Curation Status,Citation count,ERA-2010 journal name,ERA 2010 rank,SJR journal name,SJR rank,SNIP journal name,SNIP rank,Indexed in DOAJ,DOAJ CC Licence,Proprietary ID,Source,Canonical journal title
328009,Journal article,01/07/2022,,"<jats:title>Abstract</jats:title><jats:p>Fire regimes in North American forests are diverse and modern fire records are often too short to capture important patterns, trends, feedbacks, and drivers of variability. Tree‐ring fire scars provide valuable perspectives on fire regimes, including centuries‐long records of fire year, season, frequency, severity, and size. Here, we introduce the newly compiled North American tree‐ring fire‐scar network (NAFSN), which contains 2562 sites, &gt;37,000 fire‐scarred trees, and covers large parts of North America. We investigate the NAFSN in terms of geography, sample depth, vegetation, topography, climate, and human land use. Fire scars are found in most ecoregions, from boreal forests in northern Alaska and Canada to subtropical forests in southern Florida and Mexico. The network includes 91 tree species, but is dominated by gymnosperms in the genus <jats:italic>Pinus</jats:italic>. Fire scars are found from sea level to &gt;4000‐m elevation and across a range of topographic settings that vary by ecoregion. Multiple regions are densely sampled (e.g., &gt;1000 fire‐scarred trees), enabling new spatial analyses such as reconstructions of area burned. To demonstrate the potential of the network, we compared the climate space of the NAFSN to those of modern fires and forests; the NAFSN spans a climate space largely representative of the forested areas in North America, with notable gaps in warmer tropical climates. Modern fires are burning in similar climate spaces as historical fires, but disproportionately in warmer regions compared to the historical record, possibly related to under‐sampling of warm subtropical forests or supporting observations of changing fire regimes. The historical influence of Indigenous and non‐Indigenous human land use on fire regimes varies in space and time. A 20th century fire deficit associated with human activities is evident in many regions, yet fire regimes characterized by frequent surface fires are still active in some areas (e.g., Mexico and the southeastern United States). These analyses provide a foundation and framework for future studies using the hundreds of thousands of annually‐ to sub‐annually‐resolved tree‐ring records of fire spanning centuries, which will further advance our understanding of the interactions among fire, climate, topography, vegetation, and humans across North America.</jats:p>",,,,,,,"Margolis EQ, Guiterman CH, Chavardès RD, Coop JD, Copes‐Gerbitz K, Dawe DA, Falk DA, Johnston JD, Larson E, Li H",,,,10.1002/ecs2.4159,,,2150-8925,,,,,,,,,2150-8925,7,Ecosphere,,en,,,,,,,,2022-07-12,,,,,,,,2022-07,Published,,Wiley,,http://dx.doi.org/10.1002/ecs2.4159,2023-08-23,,,,,The North American tree‐ring fire‐scar network,,13,,,,,Ecosphere (2150-8925),1.461,Ecosphere (2150-8925),0.951,Yes,CC BY,10.1002/ecs2.4159,Crossref,Ecosphere
328997,Journal article,01/07/2022,,,,,,,,,"Shuman JK, Balch JK, Barnes RT, Higuera PE, Roos CI, Schwilk DW, Stavros EN, Banerjee T, Bela MM, Bendix J, Bertolino S, Bililign S, Bladon KD, Brando P, Breidenthal RE, Buma B, Calhoun D, Carvalho LMV, Cattau ME, Cawley KM, Chandra S, Chipman ML, Cobian-Iniguez J, Conlisk E, Coop JD, Cullen A, Davis KT, Dayalu A, De Sales F, Dolman M, Ellsworth LM, Franklin S, Guiterman CH, Hamilton M, Hanan EJ, Hansen WD, Hantson S, Harvey BJ, Holz A, Huang T, Hurteau MD, Ilangakoon NT, Jennings M, Jones C, Klimaszewski-Patterson A, Kobziar LN, Kominoski J, Kosovic B, Krawchuk MA, Laris P, Leonard J, Loria-Salazar SM, Lucash M, Mahmoud H, Margolis E, Maxwell T, McCarty JL, McWethy DB, Meyer RS, Miesel JR, Moser WK, Nagy RC, Niyogi D, Palmer HM, Pellegrini A, Poulter B, Robertson K, Rocha AV, Sadegh M, Santos F, Scordo F, Sexton JO, Sharma AS, Smith AMS, Soja AJ, Still C, Swetnam T, Syphard AD, Tingley MW, Tohidi A, Trugman AT, Turetsky M, Varner JM, Wang Y, Whitman T, Yelenik S, Zhang X",,,,10.1093/pnasnexus/pgac115,,,2752-6542,,,,,,,,,,3,PNAS NEXUS,"Science & Technology, Social Sciences, Multidisciplinary Sciences, Social Sciences, Interdisciplinary, Science & Technology - Other Topics, Social Sciences - Other Topics, wildfire, climate change, resilience, wildland-urban interface, social-ecological systems, LIVE FUEL MOISTURE, CLIMATE-CHANGE, LANDSCAPE TRANSFORMATION, WILDFIRE, MODEL, FORESTS, RESILIENCE, DYNAMICS, SPREAD, CARBON",English,,,,ARTN pgac115,,,,,,,,14,,,,2022-07,Published,,OXFORD UNIV PRESS,,,,,,,,Reimagine fire science for the anthropocene,"Article, Journal",1,,21,,,,,,,,,WOS:001063386400058,Web of Science,
328997,Journal article,01/07/2022,,"Fire is an integral component of ecosystems globally and a tool that humans have harnessed for millennia. Altered fire regimes are a fundamental cause and consequence of global change, impacting people and the biophysical systems on which they depend. As part of the newly emerging Anthropocene, marked by human-caused climate change and radical changes to ecosystems, fire danger is increasing, and fires are having increasingly devastating impacts on human health, infrastructure, and ecosystem services. Increasing fire danger is a vexing problem that requires deep transdisciplinary, trans-sector, and inclusive partnerships to address. Here, we outline barriers and opportunities in the next generation of fire science and provide guidance for investment in future research. We synthesize insights needed to better address the long-standing challenges of innovation across disciplines to (i) promote coordinated research efforts; (ii) embrace different ways of knowing and knowledge generation; (iii) promote exploration of fundamental science; (iv) capitalize on the ""firehose"" of data for societal benefit; and (v) integrate human and natural systems into models across multiple scales. Fire science is thus at a critical transitional moment. We need to shift from observation and modeled representations of varying components of climate, people, vegetation, and fire to more integrative and predictive approaches that support pathways toward mitigating and adapting to our increasingly flammable world, including the utilization of fire for human safety and benefit. Only through overcoming institutional silos and accessing knowledge across diverse communities can we effectively undertake research that improves outcomes in our more fiery future.",2022-08-02,,,,,,"Shuman JK, Balch JK, Barnes RT, Higuera PE, Roos CI, Schwilk DW, Stavros EN, Banerjee T, Bela MM, Bendix J",https://www.ncbi.nlm.nih.gov/pubmed/36741468,,,10.1093/pnasnexus/pgac115,,,2752-6542,,pmc:PMC9896919,,,,,,,,3,PNAS Nexus,"climate change, resilience, social–ecological systems, wildfire, wildland–urban interface",eng,England,,,,,,,,,pgac115,,,,pgac115,,2022-07,Published online,,,,,,,,,,Reimagine fire science for the anthropocene.,Journal Article,1,,,,,,,,,,,36741468,PubMed,
328997,Journal article,01/07/2022,,"<jats:title>Abstract</jats:title>
               <jats:p>Fire is an integral component of ecosystems globally and a tool that humans have harnessed for millennia. Altered fire regimes are a fundamental cause and consequence of global change, impacting people and the biophysical systems on which they depend. As part of the newly emerging Anthropocene, marked by human-caused climate change and radical changes to ecosystems, fire danger is increasing, and fires are having increasingly devastating impacts on human health, infrastructure, and ecosystem services. Increasing fire danger is a vexing problem that requires deep transdisciplinary, trans-sector, and inclusive partnerships to address. Here, we outline barriers and opportunities in the next generation of fire science and provide guidance for investment in future research. We synthesize insights needed to better address the long-standing challenges of innovation across disciplines to (i) promote coordinated research efforts; (ii) embrace different ways of knowing and knowledge generation; (iii) promote exploration of fundamental science; (iv) capitalize on the “firehose” of data for societal benefit; and (v) integrate human and natural systems into models across multiple scales. Fire science is thus at a critical transitional moment. We need to shift from observation and modeled representations of varying components of climate, people, vegetation, and fire to more integrative and predictive approaches that support pathways toward mitigating and adapting to our increasingly flammable world, including the utilization of fire for human safety and benefit. Only through overcoming institutional silos and accessing knowledge across diverse communities can we effectively undertake research that improves outcomes in our more fiery future.</jats:p>",,,,,,,"Shuman JK, Balch JK, Barnes RT, Higuera PE, Roos CI, Schwilk DW, Stavros EN, Banerjee T, Bela MM, Bendix J",,,,10.1093/pnasnexus/pgac115,,Nelson KE,2752-6542,,,,,,,,,,3,PNAS Nexus,,en,,,,,,,,2022-08-04,,,,,,,,2022-07-01,Published,,Oxford University Press (OUP),,http://dx.doi.org/10.1093/pnasnexus/pgac115,2024-04-10,,,,,Reimagine fire science for the anthropocene,,1,,,,,,,,,,,10.1093/pnasnexus/pgac115,Crossref,
326381,Journal article,19/05/2022,,,,,,,,,"Guiterman CH, Gregg RM, Marshall LAE, Beckmann JJ, van Mantgem PJ, Falk DA, Keeley JE, Caprio AC, Coop JD, Fornwalt PJ, Haffey C, Hagmann RK, Jackson ST, Lynch AM, Margolis EQ, Marks C, Meyer MD, Safford H, Syphard AD, Taylor A, Wilcox C, Carril D, Enquist CAF, Huffman D, Iniguez J, Molinari NA, Restaino C, Stevens JT",,,,10.1186/s42408-022-00131-w,,,,,,,,,,,,1933-9747,1,FIRE ECOLOGY,"Science & Technology, Life Sciences & Biomedicine, Ecology, Forestry, Environmental Sciences & Ecology, Adaptive management, Alternative stable states, Forest management, High-severity fire, Post-fire recovery, Resilience, Vegetation type conversion, Community reorganization, Wildland fire, HIGH-SEVERITY FIRE, PONDEROSA PINE, SIERRA-NEVADA, 20TH-CENTURY SHIFTS, FOREST STRUCTURE, CLIMATE-CHANGE, CALIFORNIA, ECOSYSTEMS, WILDFIRES, DYNAMICS",English,,,,ARTN 6,,,,,Gold OA,,,16,,,,2022-05-19,Published,,SPRINGER,,,,,,,,Vegetation type conversion in the US Southwest: frontline observations and management responses,"Article, Journal",18,,15,Fire Ecology (1933-9747),C,Fire Ecology (1933-9747),0.643,Fire Ecology (1933-9747),0.598,Yes,CC BY,WOS:000797971700001,Web of Science,Fire Ecology
326381,Journal article,19/05/2022,,"<jats:title>Abstract</jats:title><jats:sec>
                <jats:title>Background</jats:title>
                <jats:p>Forest and nonforest ecosystems of the western United States are experiencing major transformations in response to land-use change, climate warming, and their interactive effects with wildland fire. Some ecosystems are transitioning to persistent alternative types, hereafter called “vegetation type conversion” (VTC). VTC is one of the most pressing management issues in the southwestern US, yet current strategies to intervene and address change often use trial-and-error approaches devised after the fact. To better understand how to manage VTC, we gathered managers, scientists, and practitioners from across the southwestern US to collect their experiences with VTC challenges, management responses, and outcomes.</jats:p>
              </jats:sec><jats:sec>
                <jats:title>Results</jats:title>
                <jats:p>Participants in two workshops provided 11 descriptive case studies and 61 examples of VTC from their own field observations. These experiences demonstrate the extent and complexity of ecological reorganization across the region. High-severity fire was the predominant driver of VTC in semi-arid coniferous forests. By a large margin, these forests converted to shrubland, with fewer conversions to native or non-native herbaceous communities. Chaparral and sagebrush areas nearly always converted to non-native grasses through interactions among land use, climate, and fire. Management interventions in VTC areas most often attempted to reverse changes, although we found that these efforts cover only a small portion of high-severity burn areas undergoing VTC. Some areas incurred long (&gt;10 years) observational periods prior to initiating interventions. Efforts to facilitate VTC were rare, but could cover large spatial areas.</jats:p>
              </jats:sec><jats:sec>
                <jats:title>Conclusions</jats:title>
                <jats:p>Our findings underscore that type conversion is a common outcome of high-severity wildland fire in the southwestern US. Ecosystem managers are frontline observers of these far-reaching and potentially persistent changes, making their experiences valuable in further developing intervention strategies and research agendas. As its drivers increase with climate change, VTC appears increasingly likely in many ecological contexts and may require management paradigms to transition as well. Approaches to VTC potentially include developing new models of desired conditions, the use of experimentation by managers, and broader implementation of adaptive management strategies. Continuing to support and develop science-manager partnerships and peer learning groups will help to shape our response to ongoing rapid ecological transformations.</jats:p>
              </jats:sec>",,,,,,,"Guiterman CH, Gregg RM, Marshall LAE, Beckmann JJ, van Mantgem PJ, Falk DA, Keeley JE, Caprio AC, Coop JD, Fornwalt PJ",,,,10.1186/s42408-022-00131-w,,,1933-9747,,,,,,,,,,1,Fire Ecology,,en,,,,6,,,,2022-05-19,,,,,,,,2022-12,Published,,Springer Science and Business Media LLC,,http://dx.doi.org/10.1186/s42408-022-00131-w,2022-05-19,,,,,Vegetation type conversion in the US Southwest: frontline observations and management responses,,18,,,Fire Ecology (1933-9747),C,Fire Ecology (1933-9747),0.643,Fire Ecology (1933-9747),0.598,Yes,CC BY,10.1186/s42408-022-00131-w,Crossref,Fire Ecology
324597,Journal article,15/05/2022,,,,,,,,,"Falk DA, van Mantgem PJ, Keeley JE, Gregg RM, Guiterman CH, Tepley AJ, Young DJN, Marshall LA",,,,10.1016/j.foreco.2022.120129,,,1872-7042,,,,,,,,,0378-1127,,FOREST ECOLOGY AND MANAGEMENT,"Science & Technology, Life Sciences & Biomedicine, Forestry, HIGH-SEVERITY FIRE, PONDEROSA PINE FORESTS, INDUCED TREE MORTALITY, WESTERN UNITED-STATES, LOW-ELEVATION FORESTS, SPECIES-RANGE SHIFTS, CLIMATE-CHANGE, SIERRA-NEVADA, SPATIAL-PATTERNS, PHYSIOLOGICAL-MECHANISMS",English,,,,ARTN 120129,,,,,,,,23,,,,2022-05-15,Published,,ELSEVIER,,,,,,,,Mechanisms of forest resilience,"Review, Journal",512,,56,Forest Ecology and Management (0378-1127),A,Forest Ecology and Management (0378-1127),1.625,Forest Ecology and Management (0378-1127),1.501,No,,WOS:000793417300001,Web of Science,Forest Ecology and Management
324597,Journal article,15/05/2022,,,,,,,,,"Falk DA, van Mantgem PJ, Keeley JE, Gregg RM, Guiterman CH, Tepley AJ, JN Young D, Marshall LA",,,,10.1016/j.foreco.2022.120129,,,,,,,,,,,,0378-1127,,Forest Ecology and Management,,en,,,,120129,,,,,,120129,120129,,,,,2022-05,Published,,Elsevier BV,,http://dx.doi.org/10.1016/j.foreco.2022.120129,2023-02-11,,,,,Mechanisms of forest resilience,,512,,,Forest Ecology and Management (0378-1127),A,Forest Ecology and Management (0378-1127),1.625,Forest Ecology and Management (0378-1127),1.501,No,,10.1016/j.foreco.2022.120129,Crossref,Forest Ecology and Management
325272,Journal article,01/05/2022,,,,,,,,,"Bigio ER, Swetnam TW, Baisan CH, Guiterman CH, Kisilyakhov YK, Andreev SG, Batotsyrenov EA, Ayurzhanaev AA",,,,10.1088/1748-9326/ac6964,,,,,,,,,,,,1748-9326,5,ENVIRONMENTAL RESEARCH LETTERS,"Science & Technology, Life Sciences & Biomedicine, Physical Sciences, Environmental Sciences, Meteorology & Atmospheric Sciences, Environmental Sciences & Ecology, wildland fire, dendrochronology, Siberia, fire history, fire-climate, tree rings, frequent fire, FOREST, FREQUENCY, EMISSIONS, MONGOLIA, CLIMATE",English,,,,ARTN 054043,,,,,Gold OA,,,14,,,,2022-05-01,Published,,IOP Publishing Ltd,,,,,,,,"The influence of land-use activities and regional drought on historical fire regimes of Buryatia, Siberia","Article, Journal",17,,0,Environmental Research Letters (1748-9326),B,Environmental Research Letters (1748-9318),2.628,Environmental Research Letters (1748-9326),1.538,Yes,CC BY,WOS:000792472900001,Web of Science,Environmental Research Letters
325272,Journal article,01/05/2022,,"<jats:title>Abstract</jats:title>
               <jats:p>Every year, millions of hectares burn across Siberia, driven by a combination of warming temperatures, regional drought and human-caused ignitions. Dendrochronology provides a long-term context to evaluate recent trends in fire activity and interpret the relative influence of humans and climate drivers on fire regimes. We developed a 400 year record of fire-scarred trees from 17 sites in pine-dominated forests located southeast of Lake Baikal. Site-level mean fire return intervals (MFIs) ranged from 4 to 27 years for all fires and 8 to 35 years for widespread fires within sites. Sites with the lowest MFI values were located within 1 km of agricultural fields in grassland valleys, suggesting that agricultural burning influenced MFIs at nearby sites. Fire frequency varied over the record, with significantly high values around 1790, from 1865 to 1880, 1948 to 1955 and 1995 to 2005. The increased fire activity corresponded with migration waves to the region and major socio-economic change connected with the establishment and breakdown of the Soviet Union. At broader scales, superposed epoch analysis showed that synchronous fire years were associated with regional drought and precipitation deficits. Wet conditions for 2–3 years prior to the event year were also significant, suggesting that increased moisture promoted growth of understory fine fuels to support more extensive fires across the study area. Although fire frequencies increased during the 20th century, fire–climate relationships weakened, suggesting increased human-caused ignitions may override regional climate drivers. Our dataset presents a continuous record of frequent surface fires over the past 400 years, providing a valuable opportunity to compare dendrochronology-based reconstructions with satellite and documentary records.</jats:p>",,,,,,,"Bigio ER, Swetnam TW, Baisan CH, Guiterman CH, Kisilyakhov YK, Andreev SG, Batotsyrenov EA, Ayurzhanaev AA",,,,10.1088/1748-9326/ac6964,,,1748-9326,,,,,,,,,,5,Environmental Research Letters,,,,,,,,,,2022-05-09,,054043,054043,,,,,2022-05-01,Published,,IOP Publishing,,http://dx.doi.org/10.1088/1748-9326/ac6964,2022-05-09,,,,,"The influence of land-use activities and regional drought on historical fire regimes of Buryatia, Siberia",,17,,,Environmental Research Letters (1748-9326),B,Environmental Research Letters (1748-9318),2.628,Environmental Research Letters (1748-9326),1.538,Yes,CC BY,10.1088/1748-9326/ac6964,Crossref,Environmental Research Letters
